,Survived,Pclass,Age,SibSp,Parch,Fare,Cabin,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
69,0.0,2.0,32.0,0.0,0.0,10.5,0,0,1,0,0,1
70,0.0,3.0,16.0,5.0,2.0,46.9,0,1,0,0,0,1
71,0.0,2.0,21.0,0.0,0.0,73.5,0,0,1,0,0,1
72,0.0,3.0,26.0,1.0,0.0,14.4542,0,0,1,1,0,0
73,1.0,3.0,32.0,0.0,0.0,56.4958,0,0,1,0,0,1
74,0.0,3.0,25.0,0.0,0.0,7.65,1,0,1,0,0,1
75,0.0,3.0,30.0,0.0,0.0,7.8958,0,0,1,0,0,1
76,0.0,3.0,30.0,0.0,0.0,8.05,0,0,1,0,0,1
77,1.0,2.0,0.83,0.0,2.0,29.0,0,0,1,0,0,1
78,1.0,3.0,30.0,0.0,0.0,12.475,0,1,0,0,0,1
79,0.0,3.0,22.0,0.0,0.0,9.0,0,0,1,0,0,1
80,1.0,3.0,29.0,0.0,0.0,9.5,0,0,1,0,0,1
81,1.0,3.0,21.0,0.0,0.0,7.7875,0,1,0,0,1,0
82,0.0,1.0,28.0,0.0,0.0,47.1,0,0,1,0,0,1
83,1.0,2.0,17.0,0.0,0.0,10.5,0,1,0,0,0,1
84,1.0,3.0,33.0,3.0,0.0,15.85,0,1,0,0,0,1
85,0.0,3.0,16.0,1.0,3.0,34.375,0,0,1,0,0,1
86,0.0,3.0,30.0,0.0,0.0,8.05,0,0,1,0,0,1
87,1.0,1.0,23.0,3.0,2.0,263.0,1,1,0,0,0,1
88,0.0,3.0,24.0,0.0,0.0,8.05,0,0,1,0,0,1
89,0.0,3.0,29.0,0.0,0.0,8.05,0,0,1,0,0,1
90,0.0,3.0,20.0,0.0,0.0,7.8542,0,0,1,0,0,1
91,0.0,1.0,46.0,1.0,0.0,61.175,1,0,1,0,0,1
92,0.0,3.0,26.0,1.0,2.0,20.575,0,0,1,0,0,1
93,0.0,3.0,59.0,0.0,0.0,7.25,0,0,1,0,0,1
94,0.0,3.0,30.0,0.0,0.0,8.05,0,0,1,0,0,1
95,0.0,1.0,71.0,0.0,0.0,34.6542,1,0,1,1,0,0
96,1.0,1.0,23.0,0.0,1.0,63.3583,1,0,1,1,0,0
97,1.0,2.0,34.0,0.0,1.0,23.0,0,1,0,0,0,1
98,0.0,2.0,34.0,1.0,0.0,26.0,0,0,1,0,0,1
99,0.0,3.0,28.0,0.0,0.0,7.8958,0,1,0,0,0,1
100,0.0,3.0,30.0,0.0,0.0,7.8958,0,0,1,0,0,1
101,0.0,1.0,21.0,0.0,1.0,77.2875,1,0,1,0,0,1
102,0.0,3.0,33.0,0.0,0.0,8.6542,0,0,1,0,0,1
103,0.0,3.0,37.0,2.0,0.0,7.925,0,0,1,0,0,1
104,0.0,3.0,28.0,0.0,0.0,7.8958,0,0,1,0,0,1
105,1.0,3.0,21.0,0.0,0.0,7.65,0,1,0,0,0,1
106,1.0,3.0,30.0,0.0,0.0,7.775,0,0,1,0,0,1
107,0.0,3.0,38.0,0.0,0.0,7.8958,0,0,1,0,0,1
108,1.0,3.0,21.0,1.0,0.0,24.15,0,1,0,0,1,0
109,0.0,1.0,47.0,0.0,0.0,52.0,1,0,1,0,0,1
110,0.0,3.0,14.5,1.0,0.0,14.4542,0,1,0,1,0,0
111,0.0,3.0,22.0,0.0,0.0,8.05,0,0,1,0,0,1
112,0.0,3.0,20.0,1.0,0.0,9.825,0,1,0,0,0,1
113,0.0,3.0,17.0,0.0,0.0,14.4583,0,1,0,1,0,0
114,0.0,3.0,21.0,0.0,0.0,7.925,0,0,1,0,0,1
115,0.0,3.0,70.5,0.0,0.0,7.75,0,0,1,0,1,0
116,0.0,2.0,29.0,1.0,0.0,21.0,0,0,1,0,0,1
117,0.0,1.0,24.0,0.0,1.0,247.5208,1,0,1,1,0,0
118,0.0,3.0,2.0,4.0,2.0,31.275,0,1,0,0,0,1
119,0.0,2.0,21.0,2.0,0.0,73.5,0,0,1,0,0,1
120,0.0,3.0,30.0,0.0,0.0,8.05,0,0,1,0,0,1
121,0.0,2.0,32.5,1.0,0.0,30.0708,0,0,1,1,0,0
122,1.0,2.0,32.5,0.0,0.0,13.0,1,1,0,0,0,1
123,0.0,1.0,54.0,0.0,1.0,77.2875,1,0,1,0,0,1
124,1.0,3.0,12.0,1.0,0.0,11.2417,0,0,1,1,0,0
125,0.0,3.0,30.0,0.0,0.0,7.75,0,0,1,0,1,0
126,1.0,3.0,24.0,0.0,0.0,7.1417,0,0,1,0,0,1
127,1.0,3.0,21.0,1.0,1.0,22.3583,1,1,0,1,0,0
128,0.0,3.0,45.0,0.0,0.0,6.975,0,0,1,0,0,1
129,0.0,3.0,33.0,0.0,0.0,7.8958,0,0,1,1,0,0
130,0.0,3.0,20.0,0.0,0.0,7.05,0,0,1,0,0,1
131,0.0,3.0,47.0,1.0,0.0,14.5,0,1,0,0,0,1
132,1.0,2.0,29.0,1.0,0.0,26.0,0,1,0,0,0,1
133,0.0,2.0,25.0,0.0,0.0,13.0,0,0,1,0,0,1
134,0.0,2.0,23.0,0.0,0.0,15.0458,0,0,1,1,0,0
135,1.0,1.0,19.0,0.0,2.0,26.2833,1,1,0,0,0,1
136,0.0,1.0,37.0,1.0,0.0,53.1,1,0,1,0,0,1
137,0.0,3.0,16.0,0.0,0.0,9.2167,0,0,1,0,0,1
138,0.0,1.0,24.0,0.0,0.0,79.2,1,0,1,1,0,0
139,0.0,3.0,35.0,0.0,2.0,15.2458,0,1,0,1,0,0
140,1.0,3.0,22.0,0.0,0.0,7.75,0,1,0,0,0,1
141,1.0,3.0,24.0,1.0,0.0,15.85,0,1,0,0,0,1
142,0.0,3.0,19.0,0.0,0.0,6.75,0,0,1,0,1,0
143,0.0,2.0,18.0,0.0,0.0,11.5,0,0,1,0,0,1
144,0.0,2.0,19.0,1.0,1.0,36.75,0,0,1,0,0,1
145,1.0,3.0,27.0,0.0,0.0,7.7958,0,0,1,0,0,1
146,0.0,3.0,9.0,2.0,2.0,34.375,0,1,0,0,0,1
147,0.0,2.0,36.5,0.0,2.0,26.0,1,0,1,0,0,1
148,0.0,2.0,42.0,0.0,0.0,13.0,0,0,1,0,0,1
149,0.0,2.0,51.0,0.0,0.0,12.525,0,0,1,0,0,1
150,1.0,1.0,22.0,1.0,0.0,66.6,1,1,0,0,0,1
151,0.0,3.0,55.5,0.0,0.0,8.05,0,0,1,0,0,1
152,0.0,3.0,40.5,0.0,2.0,14.5,0,0,1,0,0,1
153,0.0,3.0,30.0,0.0,0.0,7.3125,0,0,1,0,0,1
154,0.0,1.0,51.0,0.0,1.0,61.3792,0,0,1,1,0,0
155,1.0,3.0,16.0,0.0,0.0,7.7333,0,1,0,0,1,0
156,0.0,3.0,30.0,0.0,0.0,8.05,0,0,1,0,0,1
157,0.0,3.0,30.0,0.0,0.0,8.6625,0,0,1,0,0,1
158,0.0,3.0,3.5,8.0,2.0,69.55,0,0,1,0,0,1
159,0.0,3.0,44.0,0.0,1.0,16.1,0,0,1,0,0,1
160,1.0,2.0,40.0,0.0,0.0,15.75,0,1,0,0,0,1
161,0.0,3.0,26.0,0.0,0.0,7.775,0,0,1,0,0,1
162,0.0,3.0,17.0,0.0,0.0,8.6625,0,0,1,0,0,1
163,0.0,3.0,1.0,4.0,1.0,39.6875,0,0,1,0,0,1
164,1.0,3.0,9.0,0.0,2.0,20.525,0,0,1,0,0,1
165,1.0,1.0,35.0,0.0,1.0,55.0,1,1,0,0,0,1
166,0.0,3.0,45.0,1.0,4.0,27.9,0,1,0,0,0,1
167,0.0,1.0,30.0,0.0,0.0,25.925,0,0,1,0,0,1
168,0.0,3.0,28.0,0.0,0.0,56.4958,0,0,1,0,0,1
169,0.0,1.0,61.0,0.0,0.0,33.5,1,0,1,0,0,1
170,0.0,3.0,4.0,4.0,1.0,29.125,0,0,1,0,1,0
171,1.0,3.0,1.0,1.0,1.0,11.1333,0,1,0,0,0,1
172,0.0,3.0,21.0,0.0,0.0,7.925,0,0,1,0,0,1
173,0.0,1.0,56.0,0.0,0.0,30.6958,1,0,1,1,0,0
174,0.0,3.0,18.0,1.0,1.0,7.8542,0,0,1,0,0,1
175,0.0,3.0,3.5,3.0,1.0,25.4667,0,0,1,0,0,1
176,0.0,1.0,50.0,0.0,0.0,28.7125,1,1,0,1,0,0
177,0.0,2.0,30.0,0.0,0.0,13.0,0,0,1,0,0,1
178,0.0,3.0,36.0,0.0,0.0,0.0,0,0,1,0,0,1
179,0.0,3.0,21.0,8.0,2.0,69.55,0,1,0,0,0,1
180,0.0,2.0,30.0,0.0,0.0,15.05,0,0,1,1,0,0
181,0.0,3.0,9.0,4.0,2.0,31.3875,0,0,1,0,0,1
182,1.0,2.0,1.0,2.0,1.0,39.0,1,0,1,0,0,1
183,1.0,3.0,4.0,0.0,2.0,22.025,0,1,0,0,0,1
184,0.0,1.0,30.0,0.0,0.0,50.0,1,0,1,0,0,1
185,1.0,3.0,35.0,1.0,0.0,15.5,0,1,0,0,1,0
186,1.0,1.0,45.0,0.0,0.0,26.55,0,0,1,0,0,1
187,0.0,3.0,40.0,1.0,1.0,15.5,0,0,1,0,1,0
188,0.0,3.0,36.0,0.0,0.0,7.8958,0,0,1,0,0,1
189,1.0,2.0,32.0,0.0,0.0,13.0,0,1,0,0,0,1
190,0.0,2.0,19.0,0.0,0.0,13.0,0,0,1,0,0,1
191,1.0,3.0,19.0,1.0,0.0,7.8542,0,1,0,0,0,1
192,1.0,2.0,3.0,1.0,1.0,26.0,1,0,1,0,0,1
193,1.0,1.0,44.0,0.0,0.0,27.7208,1,1,0,1,0,0
194,1.0,1.0,58.0,0.0,0.0,146.5208,1,1,0,1,0,0
195,0.0,3.0,30.0,0.0,0.0,7.75,0,0,1,0,1,0
196,0.0,3.0,42.0,0.0,1.0,8.4042,0,0,1,0,0,1
197,1.0,3.0,21.0,0.0,0.0,7.75,0,1,0,0,1,0
198,0.0,2.0,24.0,0.0,0.0,13.0,0,1,0,0,0,1
199,0.0,3.0,28.0,0.0,0.0,9.5,0,0,1,0,0,1
200,0.0,3.0,30.0,8.0,2.0,69.55,0,0,1,0,0,1
201,0.0,3.0,34.0,0.0,0.0,6.4958,0,0,1,0,0,1
202,0.0,3.0,45.5,0.0,0.0,7.225,0,0,1,1,0,0
203,1.0,3.0,18.0,0.0,0.0,8.05,0,0,1,0,0,1
204,0.0,3.0,2.0,0.0,1.0,10.4625,1,1,0,0,0,1
205,0.0,3.0,32.0,1.0,0.0,15.85,0,0,1,0,0,1
206,1.0,3.0,26.0,0.0,0.0,18.7875,0,0,1,1,0,0
207,1.0,3.0,16.0,0.0,0.0,7.75,0,1,0,0,1,0
208,1.0,1.0,40.0,0.0,0.0,31.0,1,0,1,1,0,0
209,0.0,3.0,24.0,0.0,0.0,7.05,0,0,1,0,0,1
210,1.0,2.0,35.0,0.0,0.0,21.0,0,1,0,0,0,1
211,0.0,3.0,22.0,0.0,0.0,7.25,0,0,1,0,0,1
212,0.0,2.0,30.0,0.0,0.0,13.0,0,0,1,0,0,1
213,0.0,3.0,30.0,1.0,0.0,7.75,0,0,1,0,1,0
214,1.0,1.0,31.0,1.0,0.0,113.275,1,1,0,1,0,0
215,1.0,3.0,27.0,0.0,0.0,7.925,0,1,0,0,0,1
216,0.0,2.0,42.0,1.0,0.0,27.0,0,0,1,0,0,1
217,1.0,1.0,32.0,0.0,0.0,76.2917,1,1,0,1,0,0
218,0.0,2.0,30.0,0.0,0.0,10.5,0,0,1,0,0,1
219,1.0,3.0,16.0,0.0,0.0,8.05,0,0,1,0,0,1
220,0.0,2.0,27.0,0.0,0.0,13.0,0,0,1,0,0,1
221,0.0,3.0,51.0,0.0,0.0,8.05,0,0,1,0,0,1
222,0.0,3.0,30.0,0.0,0.0,7.8958,0,0,1,0,0,1
223,1.0,1.0,38.0,1.0,0.0,90.0,1,0,1,0,0,1
224,0.0,3.0,22.0,0.0,0.0,9.35,0,0,1,0,0,1
225,1.0,2.0,19.0,0.0,0.0,10.5,0,0,1,0,0,1
226,0.0,3.0,20.5,0.0,0.0,7.25,0,0,1,0,0,1
227,0.0,2.0,18.0,0.0,0.0,13.0,0,0,1,0,0,1
228,0.0,3.0,21.0,3.0,1.0,25.4667,0,1,0,0,0,1
229,1.0,1.0,35.0,1.0,0.0,83.475,1,1,0,0,0,1
230,0.0,3.0,29.0,0.0,0.0,7.775,0,0,1,0,0,1
231,0.0,2.0,59.0,0.0,0.0,13.5,0,0,1,0,0,1
232,1.0,3.0,5.0,4.0,2.0,31.3875,0,1,0,0,0,1
233,0.0,2.0,24.0,0.0,0.0,10.5,0,0,1,0,0,1
234,0.0,3.0,21.0,0.0,0.0,7.55,0,1,0,0,0,1
235,0.0,2.0,44.0,1.0,0.0,26.0,0,0,1,0,0,1
236,1.0,2.0,8.0,0.0,2.0,26.25,0,1,0,0,0,1
237,0.0,2.0,19.0,0.0,0.0,10.5,0,0,1,0,0,1
238,0.0,2.0,33.0,0.0,0.0,12.275,0,0,1,0,0,1
239,0.0,3.0,21.0,1.0,0.0,14.4542,0,1,0,1,0,0
240,1.0,3.0,21.0,1.0,0.0,15.5,0,1,0,0,1,0
241,0.0,2.0,29.0,0.0,0.0,10.5,0,0,1,0,0,1
242,0.0,3.0,22.0,0.0,0.0,7.125,0,0,1,0,0,1
243,0.0,3.0,30.0,0.0,0.0,7.225,0,0,1,1,0,0
244,0.0,1.0,44.0,2.0,0.0,90.0,1,0,1,0,1,0
245,0.0,3.0,25.0,0.0,0.0,7.775,0,1,0,0,0,1
246,1.0,2.0,24.0,0.0,2.0,14.5,0,1,0,0,0,1
247,1.0,1.0,37.0,1.0,1.0,52.5542,1,0,1,0,0,1
248,0.0,2.0,54.0,1.0,0.0,26.0,0,0,1,0,0,1
249,0.0,3.0,30.0,0.0,0.0,7.25,0,0,1,0,0,1
250,0.0,3.0,29.0,1.0,1.0,10.4625,1,1,0,0,0,1
251,0.0,1.0,62.0,0.0,0.0,26.55,1,0,1,0,0,1
252,0.0,3.0,30.0,1.0,0.0,16.1,0,0,1,0,0,1
253,0.0,3.0,41.0,0.0,2.0,20.2125,0,1,0,0,0,1
254,1.0,3.0,29.0,0.0,2.0,15.2458,0,1,0,1,0,0
255,1.0,1.0,35.0,0.0,0.0,79.2,0,1,0,1,0,0
256,1.0,1.0,30.0,0.0,0.0,86.5,1,1,0,0,0,1
257,1.0,1.0,35.0,0.0,0.0,512.3292,0,1,0,1,0,0
258,1.0,2.0,50.0,0.0,1.0,26.0,0,1,0,0,0,1
259,0.0,3.0,30.0,0.0,0.0,7.75,0,0,1,0,1,0
260,1.0,3.0,3.0,4.0,2.0,31.3875,0,0,1,0,0,1
261,0.0,1.0,52.0,1.0,1.0,79.65,1,0,1,0,0,1
262,0.0,1.0,40.0,0.0,0.0,0.0,1,0,1,0,0,1
263,0.0,3.0,21.0,0.0,0.0,7.75,0,1,0,0,1,0
264,0.0,2.0,36.0,0.0,0.0,10.5,0,0,1,0,0,1
265,0.0,3.0,16.0,4.0,1.0,39.6875,0,0,1,0,0,1
266,1.0,3.0,25.0,1.0,0.0,7.775,0,0,1,0,0,1
267,1.0,1.0,58.0,0.0,1.0,153.4625,1,1,0,0,0,1
268,1.0,1.0,35.0,0.0,0.0,135.6333,1,1,0,0,0,1
269,0.0,1.0,30.0,0.0,0.0,31.0,0,0,1,0,0,1
270,1.0,3.0,25.0,0.0,0.0,0.0,0,0,1,0,0,1
271,1.0,2.0,41.0,0.0,1.0,19.5,0,1,0,0,0,1
272,0.0,1.0,37.0,0.0,1.0,29.7,1,0,1,1,0,0
273,1.0,3.0,21.0,0.0,0.0,7.75,0,1,0,0,1,0
274,1.0,1.0,63.0,1.0,0.0,77.9583,1,1,0,0,0,1
275,0.0,3.0,45.0,0.0,0.0,7.75,0,1,0,0,0,1
276,0.0,2.0,30.0,0.0,0.0,0.0,0,0,1,0,0,1
277,0.0,3.0,7.0,4.0,1.0,29.125,0,0,1,0,1,0
278,1.0,3.0,35.0,1.0,1.0,20.25,0,1,0,0,0,1
279,0.0,3.0,65.0,0.0,0.0,7.75,0,0,1,0,1,0
280,0.0,3.0,28.0,0.0,0.0,7.8542,0,0,1,0,0,1
281,0.0,3.0,16.0,0.0,0.0,9.5,0,0,1,0,0,1
282,1.0,3.0,19.0,0.0,0.0,8.05,0,0,1,0,0,1
283,0.0,1.0,30.0,0.0,0.0,26.0,1,0,1,0,0,1
284,0.0,3.0,33.0,0.0,0.0,8.6625,0,0,1,1,0,0
285,1.0,3.0,30.0,0.0,0.0,9.5,0,0,1,0,0,1
286,0.0,3.0,22.0,0.0,0.0,7.8958,0,0,1,0,0,1
287,1.0,2.0,42.0,0.0,0.0,13.0,0,0,1,0,0,1
288,1.0,3.0,22.0,0.0,0.0,7.75,0,1,0,0,1,0
289,1.0,1.0,26.0,0.0,0.0,78.85,0,1,0,0,0,1
290,1.0,1.0,19.0,1.0,0.0,91.0792,1,1,0,1,0,0
291,0.0,2.0,36.0,0.0,0.0,12.875,1,0,1,1,0,0
292,0.0,3.0,24.0,0.0,0.0,8.85,0,1,0,0,0,1
293,0.0,3.0,24.0,0.0,0.0,7.8958,0,0,1,0,0,1
294,0.0,1.0,30.0,0.0,0.0,27.7208,0,0,1,1,0,0
295,0.0,3.0,23.5,0.0,0.0,7.2292,0,0,1,1,0,0
296,0.0,1.0,2.0,1.0,2.0,151.55,1,1,0,0,0,1
297,1.0,1.0,30.0,0.0,0.0,30.5,1,0,1,0,0,1
298,1.0,1.0,50.0,0.0,1.0,247.5208,1,1,0,1,0,0
299,1.0,3.0,21.0,0.0,0.0,7.75,0,1,0,0,1,0
300,1.0,3.0,30.0,2.0,0.0,23.25,0,0,1,0,1,0
301,0.0,3.0,19.0,0.0,0.0,0.0,0,0,1,0,0,1
302,1.0,2.0,21.0,0.0,0.0,12.35,1,1,0,0,1,0
303,0.0,3.0,30.0,0.0,0.0,8.05,0,0,1,0,0,1
304,1.0,1.0,0.92,1.0,2.0,151.55,1,0,1,0,0,1
305,1.0,1.0,21.0,0.0,0.0,110.8833,0,1,0,1,0,0
306,1.0,1.0,17.0,1.0,0.0,108.9,1,1,0,1,0,0
307,0.0,2.0,30.0,1.0,0.0,24.0,0,0,1,1,0,0
308,1.0,1.0,30.0,0.0,0.0,56.9292,1,1,0,1,0,0
309,1.0,1.0,24.0,0.0,0.0,83.1583,1,1,0,1,0,0
310,1.0,1.0,18.0,2.0,2.0,262.375,1,1,0,1,0,0
311,0.0,2.0,26.0,1.0,1.0,26.0,0,1,0,0,0,1
312,0.0,3.0,28.0,0.0,0.0,7.8958,0,0,1,0,0,1
313,0.0,2.0,43.0,1.0,1.0,26.25,0,0,1,0,0,1
314,1.0,3.0,26.0,0.0,0.0,7.8542,0,1,0,0,0,1
315,1.0,2.0,24.0,1.0,0.0,26.0,0,1,0,0,0,1
316,0.0,2.0,54.0,0.0,0.0,14.0,0,0,1,0,0,1
317,1.0,1.0,31.0,0.0,2.0,164.8667,1,1,0,0,0,1
318,1.0,1.0,40.0,1.0,1.0,134.5,1,1,0,1,0,0
319,0.0,3.0,22.0,0.0,0.0,7.25,0,0,1,0,0,1
320,0.0,3.0,27.0,0.0,0.0,7.8958,0,0,1,0,0,1
321,1.0,2.0,30.0,0.0,0.0,12.35,0,1,0,0,1,0
322,1.0,2.0,22.0,1.0,1.0,29.0,0,1,0,0,0,1
323,0.0,3.0,30.0,8.0,2.0,69.55,0,0,1,0,0,1
324,1.0,1.0,36.0,0.0,0.0,135.6333,1,1,0,1,0,0
325,0.0,3.0,61.0,0.0,0.0,6.2375,0,0,1,0,0,1
326,1.0,2.0,36.0,0.0,0.0,13.0,1,1,0,0,0,1
327,1.0,3.0,31.0,1.0,1.0,20.525,0,1,0,0,0,1
328,1.0,1.0,16.0,0.0,1.0,57.9792,1,1,0,1,0,0
329,1.0,3.0,21.0,2.0,0.0,23.25,0,1,0,0,1,0
330,0.0,1.0,45.5,0.0,0.0,28.5,1,0,1,0,0,1
331,0.0,1.0,38.0,0.0,1.0,153.4625,1,0,1,0,0,1
332,0.0,3.0,16.0,2.0,0.0,18.0,0,0,1,0,0,1
333,1.0,1.0,35.0,1.0,0.0,133.65,0,1,0,0,0,1
334,0.0,3.0,30.0,0.0,0.0,7.8958,0,0,1,0,0,1
335,0.0,1.0,29.0,1.0,0.0,66.6,1,0,1,0,0,1
336,1.0,1.0,41.0,0.0,0.0,134.5,1,1,0,1,0,0
337,1.0,3.0,45.0,0.0,0.0,8.05,0,0,1,0,0,1
338,0.0,1.0,45.0,0.0,0.0,35.5,1,0,1,0,0,1
339,1.0,2.0,2.0,1.0,1.0,26.0,1,0,1,0,0,1
340,1.0,1.0,24.0,3.0,2.0,263.0,1,1,0,0,0,1
341,0.0,2.0,28.0,0.0,0.0,13.0,0,0,1,0,0,1
342,0.0,2.0,25.0,0.0,0.0,13.0,0,0,1,0,0,1
343,0.0,2.0,36.0,0.0,0.0,13.0,0,0,1,0,0,1
344,1.0,2.0,24.0,0.0,0.0,13.0,1,1,0,0,0,1
345,1.0,2.0,40.0,0.0,0.0,13.0,0,1,0,0,0,1
346,1.0,3.0,35.0,1.0,0.0,16.1,0,1,0,0,0,1
347,1.0,3.0,3.0,1.0,1.0,15.9,0,0,1,0,0,1
348,0.0,3.0,42.0,0.0,0.0,8.6625,0,0,1,0,0,1
349,0.0,3.0,23.0,0.0,0.0,9.225,0,0,1,0,0,1
350,0.0,1.0,30.0,0.0,0.0,35.0,1,0,1,0,0,1
351,0.0,3.0,15.0,1.0,1.0,7.2292,0,0,1,1,0,0
352,0.0,3.0,25.0,1.0,0.0,17.8,0,0,1,0,0,1
353,0.0,3.0,30.0,0.0,0.0,7.225,0,0,1,1,0,0
354,0.0,3.0,28.0,0.0,0.0,9.5,0,0,1,0,0,1
355,1.0,1.0,22.0,0.0,1.0,55.0,1,1,0,0,0,1
356,0.0,2.0,38.0,0.0,0.0,13.0,0,1,0,0,0,1
357,1.0,3.0,21.0,0.0,0.0,7.8792,0,1,0,0,1,0
358,1.0,3.0,21.0,0.0,0.0,7.8792,0,1,0,0,1,0
359,0.0,3.0,40.0,1.0,4.0,27.9,0,0,1,0,0,1
360,0.0,2.0,29.0,1.0,0.0,27.7208,0,0,1,1,0,0
